Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1980","1980","1000 US$","312882","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1981","1981","1000 US$","300056","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1982","1982","1000 US$","302759","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1983","1983","1000 US$","279461","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1984","1984","1000 US$","369234","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1985","1985","1000 US$","338360","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1986","1986","1000 US$","398276","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1987","1987","1000 US$","376026","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1988","1988","1000 US$","415478","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1989","1989","1000 US$","455039","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1990","1990","1000 US$","471352","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1991","1991","1000 US$","530569","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1992","1992","1000 US$","506832","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1993","1993","1000 US$","533975","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1994","1994","1000 US$","563427","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1995","1995","1000 US$","579374","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1996","1996","1000 US$","606504","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1997","1997","1000 US$","634264","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1998","1998","1000 US$","713579","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","1999","1999","1000 US$","742100","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2000","2000","1000 US$","784900","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2001","2001","1000 US$","766418","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2002","2002","1000 US$","969388","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2003","2003","1000 US$","905969","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2004","2004","1000 US$","1017060","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2005","2005","1000 US$","938899","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2006","2006","1000 US$","710559","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2007","2007","1000 US$","757951","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2008","2008","1000 US$","1139825","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2009","2009","1000 US$","1069572","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2010","2010","1000 US$","1182311","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2011","2011","1000 US$","1232257","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2012","2012","1000 US$","1266449","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2013","2013","1000 US$","1333137","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2014","2014","1000 US$","1451143","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2015","2015","1000 US$","1194246","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2016","2016","1000 US$","1370306","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2017","2017","1000 US$","1461878","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2018","2018","1000 US$","1326915","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","137","Ignames","2019","2019","1000 US$","1516407","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1980","1980","1000 US$","77435","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1981","1981","1000 US$","82057","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1982","1982","1000 US$","77896","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1983","1983","1000 US$","80459","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1984","1984","1000 US$","108232","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1985","1985","1000 US$","124066","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1986","1986","1000 US$","107989","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1987","1987","1000 US$","79130","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1988","1988","1000 US$","120874","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1989","1989","1000 US$","121032","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1990","1990","1000 US$","117022","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1991","1991","1000 US$","123019","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1992","1992","1000 US$","131165","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1993","1993","1000 US$","137974","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1994","1994","1000 US$","140299","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1995","1995","1000 US$","164525","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1996","1996","1000 US$","158626","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1997","1997","1000 US$","200095","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1998","1998","1000 US$","189015","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","1999","1999","1000 US$","223479","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2000","2000","1000 US$","214194","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2001","2001","1000 US$","195773","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2002","2002","1000 US$","227624","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2003","2003","1000 US$","225005","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2004","2004","1000 US$","240331","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2005","2005","1000 US$","246805","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2006","2006","1000 US$","246826","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2007","2007","1000 US$","265900","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2008","2008","1000 US$","279162","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2009","2009","1000 US$","343992","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2010","2010","1000 US$","289028","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2011","2011","1000 US$","332791","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2012","2012","1000 US$","338233","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2013","2013","1000 US$","375788","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2014","2014","1000 US$","386562","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2015","2015","1000 US$","367072","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2016","2016","1000 US$","392938","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2017","2017","1000 US$","415087","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2018","2018","1000 US$","430920","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","56","Maïs","2019","2019","1000 US$","451183","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1980","1980","1000 US$","214353","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1981","1981","1000 US$","211607","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1982","1982","1000 US$","224362","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1983","1983","1000 US$","213421","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1984","1984","1000 US$","251877","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1985","1985","1000 US$","257199","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1986","1986","1000 US$","266428","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1987","1987","1000 US$","210247","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1988","1988","1000 US$","323600","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1989","1989","1000 US$","359328","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1990","1990","1000 US$","344801","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1991","1991","1000 US$","384948","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1992","1992","1000 US$","382885","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1993","1993","1000 US$","421790","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1994","1994","1000 US$","421495","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1995","1995","1000 US$","455356","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1996","1996","1000 US$","535830","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1997","1997","1000 US$","705720","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1998","1998","1000 US$","731683","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","1999","1999","1000 US$","777276","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2000","2000","1000 US$","864551","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2001","2001","1000 US$","994498","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2002","2002","1000 US$","1160569","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2003","2003","1000 US$","1123736","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2004","2004","1000 US$","1087036","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2005","2005","1000 US$","1052587","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2006","2006","1000 US$","1033283","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2007","2007","1000 US$","840216","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2008","2008","1000 US$","1156759","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2009","2009","1000 US$","1393428","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2010","2010","1000 US$","1267264","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2011","2011","1000 US$","1341194","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2012","2012","1000 US$","1341214","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2013","2013","1000 US$","1438351","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2014","2014","1000 US$","1495985","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2015","2015","1000 US$","1258330","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2016","2016","1000 US$","1431822","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2017","2017","1000 US$","1456528","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2018","2018","1000 US$","1405158","Fc","Donnée calculée"
"QV","Valeur de la Production Agricole","53","Bénin","58","Gross Production Value (constant 2014-2016 thousand US$)","125","Manioc","2019","2019","1000 US$","1664738","Fc","Donnée calculée"
